轮次	训练损失	训练准确率	验证损失	验证准确率
1	0.741511	69.1239	3.035688	49.7436
2	0.359320	84.8291	0.264607	90.0641
3	0.352170	84.3376	0.497550	73.5897
4	0.333788	85.8761	0.571161	73.9744
5	0.332818	85.7265	0.415906	73.7821
6	0.329233	85.7051	2.621186	55.7051
7	0.318522	86.3889	0.278376	90.9615
8	0.325531	85.5983	0.344264	82.2436
9	0.313338	86.7308	0.429378	73.5256
10	0.312326	86.1538	1.080582	72.7564
11	0.309296	86.7521	0.727883	73.5897
12	0.315090	86.1538	0.351948	76.2821
13	0.307753	87.0085	0.263305	90.5128
14	0.319526	86.1325	0.458739	73.6538
15	0.310564	86.9017	0.276034	89.8077
16	0.316809	86.3675	0.286025	87.5000
17	0.309643	86.4316	1.020030	73.2051
18	0.307231	86.7949	0.257054	89.6795
19	0.327005	86.2607	0.968181	72.3718
20	0.307089	86.8803	0.397941	73.7821
21	0.306605	86.9658	0.373583	76.9231
22	0.302586	87.2222	0.305141	86.5385
23	0.303556	87.0513	0.271635	90.0000
24	0.307231	87.2863	0.301531	81.9231
25	0.309575	86.9444	0.744172	73.2051
26	0.296740	87.4573	0.392250	73.8462
27	0.306737	86.9658	0.270467	90.5769
28	0.315834	86.2821	0.573168	73.4615
29	0.302591	87.2222	0.855518	72.9487
30	0.301499	86.8376	0.285580	88.9103
31	0.296986	87.2863	0.640704	73.1410
32	0.298793	87.3077	0.288443	88.0769
33	0.291263	87.5000	0.284764	87.6282
34	0.291963	87.6068	0.286245	87.9487
35	0.299430	87.0726	0.264623	90.0641
36	0.303734	86.7308	0.520219	73.5897
37	0.313932	86.7308	0.802505	73.6538
38	0.307936	86.6667	0.770896	73.8462
39	0.299614	86.9872	0.284362	90.0000
40	0.301668	87.0726	0.763286	73.2692
41	0.293121	87.4786	0.321690	83.2692
42	0.287882	87.5214	0.301531	85.5128
43	0.288108	87.6923	0.330502	80.4487
44	0.287211	87.5000	0.332217	80.5769
45	0.293241	87.4145	0.344208	79.2949
46	0.286517	87.7991	0.299079	86.0897
47	0.291291	87.5855	0.258779	90.6410
48	0.288777	87.6282	0.327133	82.8205
49	0.285966	87.8205	0.304627	85.5769
50	0.286587	87.6282	0.292399	86.9231
51	0.287933	87.5855	0.321951	82.7564
52	0.286287	87.4786	0.323462	81.9231
53	0.284000	87.8846	0.268861	89.4872
54	0.285247	87.8205	0.288877	87.6923
55	0.285305	87.6496	0.335579	80.7692
56	0.284898	87.8419	0.327085	81.4744
57	0.282938	87.5427	0.308386	84.6795
58	0.284135	87.9915	0.342201	79.2949
59	0.286379	87.6709	0.284562	88.5897
60	0.281175	87.7778	0.305827	85.3205
61	0.281007	88.0128	0.283939	88.0128
62	0.287984	87.5000	0.329517	81.2821
63	0.281813	87.9274	0.307773	86.0256
64	0.285041	87.8632	0.304760	84.8718
65	0.282452	87.5855	0.301015	85.3846
66	0.289550	87.6709	0.315386	83.7821
67	0.282011	87.9274	0.289703	87.5641
68	0.282342	87.9487	0.287234	87.3077
69	0.285839	87.7350	0.320689	83.1410
70	0.280761	88.2051	0.288705	86.5385
71	0.281832	87.8419	0.284513	88.6538
72	0.288674	87.6709	0.256823	90.7692
73	0.282423	87.8632	0.308125	85.4487
74	0.283274	87.7991	0.307650	85.3846
75	0.280735	88.0556	0.284189	88.8462
76	0.284686	87.4573	0.320653	84.4872
77	0.283038	88.1624	0.319738	82.5000
78	0.284697	87.9701	0.288401	88.3974
79	0.282020	87.9060	0.318206	81.1538
80	0.277325	87.9060	0.304290	85.3846
81	0.278348	88.2265	0.286774	87.4359
82	0.278361	88.1197	0.291932	86.8590
83	0.279924	88.1410	0.298316	86.4744
84	0.281434	88.3333	0.296160	86.6026
85	0.279167	87.9487	0.298847	86.6026
86	0.280581	88.2479	0.287359	87.1154
87	0.278167	88.2906	0.289043	87.0513
88	0.276979	88.3974	0.304924	85.4487
89	0.277439	88.2265	0.285218	88.0128
90	0.277364	88.2906	0.291071	86.7949
91	0.276158	88.1624	0.291299	86.8590
92	0.275799	88.2051	0.292519	86.7949
93	0.281039	88.3333	0.293587	86.6026
94	0.280072	87.9701	0.291265	87.0513
95	0.276006	88.0556	0.299097	86.3462
96	0.280890	87.6282	0.280232	88.9103
97	0.279571	88.1838	0.295379	86.7308
98	0.279245	88.0769	0.286274	87.8205
99	0.279094	88.1838	0.297779	86.5385
100	0.275218	88.2479	0.294577	86.6667
