轮次	训练损失	训练准确率	验证损失	验证准确率
1	2.256418	6.7308	2.199613	23.0769
2	2.212379	7.6923	2.173127	23.0769
3	2.219351	9.6154	2.165112	23.0769
4	2.151708	10.5769	2.177971	23.0769
5	2.186932	13.4615	2.185893	23.0769
6	2.139200	12.5000	2.187322	23.0769
7	2.137302	16.3462	2.179161	30.7692
8	2.141348	15.3846	2.191094	30.7692
9	2.150909	20.1923	2.186908	23.0769
10	2.132005	14.4231	2.182629	23.0769
11	2.158961	17.3077	2.169438	23.0769
12	2.188733	16.3462	2.174024	7.6923
13	2.161343	17.3077	2.171313	0.0000
14	2.129432	18.2692	2.166764	15.3846
15	2.136876	17.3077	2.155168	15.3846
16	2.140444	24.0385	2.174104	15.3846
17	2.109528	17.3077	2.159657	7.6923
18	2.093752	22.1154	2.163713	23.0769
19	2.088565	22.1154	2.136856	30.7692
20	2.093514	21.1538	2.131816	7.6923
21	2.119090	13.4615	2.116060	7.6923
22	2.093293	20.1923	2.119427	23.0769
23	2.102096	24.0385	2.149451	15.3846
24	2.081795	23.0769	2.136771	15.3846
25	2.092926	20.1923	2.141366	15.3846
26	2.047273	26.9231	2.137925	23.0769
27	2.105310	19.2308	2.135003	15.3846
