轮次	训练损失	训练准确率	验证损失	验证准确率
1	2.161997	16.3462	2.132561	19.2308
2	2.150401	20.1923	2.132608	19.2308
3	2.217737	11.0577	2.125662	3.8462
4	2.099120	17.3077	2.110040	7.6923
5	2.101984	24.0385	2.090664	11.5385
6	2.133765	23.5577	2.097400	7.6923
7	2.112504	16.3462	2.105289	11.5385
8	2.112847	17.3077	2.094189	11.5385
9	2.069238	18.7500	2.105828	7.6923
10	2.093294	20.1923	2.086901	7.6923
11	2.051790	24.0385	2.086761	15.3846
12	2.098749	20.6731	2.084767	11.5385
13	2.070240	17.7885	2.107729	19.2308
14	2.042319	19.2308	2.072108	15.3846
15	2.042241	21.6346	2.087141	19.2308
16	2.017249	26.9231	2.083603	15.3846
17	2.006075	25.4808	2.094912	15.3846
18	2.066925	19.7115	2.081760	7.6923
19	2.014743	24.5192	2.087728	15.3846
20	1.985247	25.9615	2.077587	15.3846
21	2.017347	22.1154	2.074672	15.3846
