轮次	训练损失	训练准确率	验证损失	验证准确率
1	2.108222	25.0000	2.179838	30.7692
2	2.114825	20.1923	2.188878	30.7692
3	2.145499	16.3462	2.179910	30.7692
4	2.104765	20.1923	2.172549	30.7692
5	2.153003	18.2692	2.164154	15.3846
6	2.114034	15.3846	2.172887	23.0769
7	2.116271	19.2308	2.155189	0.0000
8	2.126706	17.3077	2.177279	7.6923
9	2.126064	22.1154	2.185291	7.6923
10	2.092532	24.0385	2.171824	7.6923
11	2.128737	23.0769	2.160311	15.3846
12	2.152916	18.2692	2.154506	15.3846
13	2.122451	20.1923	2.153622	23.0769
14	2.080459	24.0385	2.145222	23.0769
15	2.083765	23.0769	2.138170	7.6923
16	2.107995	25.9615	2.152624	7.6923
17	2.075838	23.0769	2.128048	7.6923
18	2.069287	25.0000	2.151893	7.6923
19	2.058268	24.0385	2.143073	15.3846
20	2.067932	25.0000	2.140704	15.3846
21	2.099211	17.3077	2.138854	15.3846
