轮次	训练损失	训练准确率	验证损失	验证准确率
1	1.854082	35.5769	2.150470	13.8462
2	1.657260	40.5769	2.137745	16.1538
3	1.607705	42.6923	2.063682	33.0769
4	1.513512	46.2500	1.893095	41.5385
5	1.584336	45.6731	1.917959	46.1538
6	1.447152	48.8462	1.936294	51.5385
7	1.456664	46.0577	1.658882	48.4615
8	1.502625	47.2115	2.368135	50.0000
9	1.504858	48.4615	2.363562	49.2308
10	1.439802	46.2500	2.108432	53.8462
11	1.449575	46.3462	1.900340	56.1538
12	1.473373	47.4038	2.213402	44.6154
13	1.434350	47.8846	1.973562	56.9231
14	1.432885	47.5962	1.860732	55.3846
15	1.416225	48.5577	2.105655	55.3846
16	1.351254	49.3269	2.128022	53.8462
17	1.309722	51.1538	1.824972	49.2308
18	1.315272	53.1731	2.077790	55.3846
19	1.298885	52.8846	2.449799	51.5385
20	1.354271	49.5192	1.919454	52.3077
21	1.350144	51.0577	1.949354	54.6154
22	1.351317	49.3269	2.046183	53.0769
23	1.229213	54.9038	2.181856	46.9231
24	1.277774	53.0769	2.132321	56.9231
25	1.415993	48.9423	2.022791	57.6923
26	1.332158	51.2500	2.243196	60.7692
27	1.264916	53.0769	2.036075	51.5385
28	1.289500	50.5769	1.944385	56.1538
29	1.351982	49.9038	1.917202	53.0769
30	1.259146	52.1154	2.090378	56.9231
31	1.271681	53.7500	2.099757	53.8462
32	1.186109	52.6923	1.965368	56.1538
33	1.217406	53.4615	2.290074	53.8462
34	1.208446	54.8077	2.488961	53.0769
35	1.179404	55.3846	2.391866	51.5385
36	1.270581	52.7885	2.232116	54.6154
37	1.350494	51.9231	2.676811	55.3846
38	1.289761	53.8462	2.347603	50.7692
39	1.288384	55.8654	2.163614	53.8462
40	1.229995	54.9038	2.131708	55.3846
41	1.252946	50.0000	2.148558	58.4615
42	1.261649	53.3654	2.102290	56.1538
43	1.306988	52.5962	2.210830	54.6154
44	1.170111	55.7692	2.084864	53.0769
45	1.203921	53.3654	2.422585	56.9231
46	1.223317	53.6538	2.365990	59.2308
